num_of_run|moves_in_game|end|time
318|76|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:36.367806
319|63|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:36.888077
320|48|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:37.305031
321|58|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:37.790542
322|54|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:38.319595
323|94|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:39.179559
324|102|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:40.067760
325|110|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:41.000839
326|51|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:41.527218
327|65|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:42.120166
328|52|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:42.627458
329|91|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:43.527484
330|86|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:44.309710
331|50|[1, 1, 1, 0, 0, 0]|2020-05-23 14:14:44.763981
332|63|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:45.343822
333|57|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:45.793459
334|63|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:46.529641
335|97|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:47.401394
336|49|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:47.846515
337|80|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:48.469784
338|73|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:49.127178
339|86|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:49.880602
340|58|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:50.451412
341|73|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:51.078219
342|115|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:52.135116
343|168|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:53.658376
344|101|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:54.595426
345|51|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:55.002519
346|52|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:55.435040
347|110|[1, 1, 0, 0, 0, 0]|2020-05-23 14:14:56.417675
348|83|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:57.148286
349|67|[1, 0, 0, 0, 0, 0]|2020-05-23 14:14:57.688866
350|55|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:58.135866
351|66|[0, 0, 0, 1, 0, 0]|2020-05-23 14:14:58.672304
352|75|[0, 0, 0, 1, 1, 0]|2020-05-23 14:14:59.331410
353|75|[1, 1, 0, 0, 0, 0]|2020-05-23 14:15:00.028091
354|115|[0, 0, 0, 1, 0, 0]|2020-05-23 14:15:01.142948
355|52|[0, 0, 0, 1, 1, 0]|2020-05-23 14:15:01.552007
356|62|[0, 0, 0, 1, 1, 0]|2020-05-23 14:15:02.058366
